ï»¿faction_id|id|name|cost|detachment|detachment_id|legend|description|
AC|000008921003|Champion of the Imperium|25|Talons Of The Emperor|000000861|This leader is amongst the finest martial champions in all the Emperor's realm, and their mere presence inspires their followers to remarkable efforts.|<span class="tooltip00491" data-tooltip-content="#tooltip_content00491" data-tooltip-anchor="#tooltip_content00491"><span class="kwb kwbu">ADEPTUS</span> <span class="kwb kwbu">CUSTODES</span></span> model only. The range of the bearerâs <span class="tooltip00495" data-tooltip-content="#tooltip_content00495"><span class="tt kwbu">Null</span> <span class="tt kwbu">Aegis</span> <span class="tt kwbu">or</span> <span class="tt kwbu">Deadly</span> <span class="tt kwbu">Unity</span></span> ability is increased to 9".|
AC|000009987003|Praesidius|25|Lions of the Emperor|000001029|Fashioned by the Terran armourer Annah Tsvochakin in the latter years of the 32nd millennium, the stunningly worked Praesidius is a singular artefact. Nestled within its golden form are a series of microshield generators and stealth emitters. Employing a modification of displacer technology, the shield generates small localised displacement bubbles at the point of impact, literally beaming bolts, bullets and the tips of blades harmlessly away from its bearer.|<span class="tooltip00491" data-tooltip-content="#tooltip_content00491" data-tooltip-anchor="#tooltip_content00491"><span class="kwb kwbu">ADEPTUS</span> <span class="kwb kwbu">CUSTODES</span></span> model only. The bearer has the <span class="tooltip00222" data-tooltip-content="#tooltip_content00222"><span class="tt kwbu">Lone</span> <span class="tt kwbu">Operative</span></span> and <span class="tooltip00496" data-tooltip-content="#tooltip_content00496"><span class="tt kwbu">Stealth</span></span> abilities.|
AC|000008395003|Castellanâs Mark|20|Shield Host|000000765|This finely worked pauldron is awarded to whichever living Custodian currently holds the greatest tally of victories in the Blood Games. The one who bears the Castellan 's Mark is guaranteed to be a superlative strategic genius.|<span class="tooltip00492" data-tooltip-content="#tooltip_content00492" data-tooltip-anchor="#tooltip_content00492"><span class="kwb kwbu">SHIELD-CAPTAIN</span></span> model only. After both players have deployed their armies, you can select up to two <span class="tooltip00491" data-tooltip-content="#tooltip_content00491" data-tooltip-anchor="#tooltip_content00491"><span class="kwb kwbu">ADEPTUS</span> <span class="kwb kwbu">CUSTODES</span></span> units from your army (excluding <span class="tooltip00493" data-tooltip-content="#tooltip_content00493" data-tooltip-anchor="#tooltip_content00493"><span class="kwb kwbu">ANATHEMA</span> <span class="kwb kwbu">PSYKANA</span></span> units) and redeploy all of those units. When doing so, any of those units can be placed into <a href="/wh40k10ed/the-rules/core-rules/#Strategic-Reserves">Strategic Reserves</a>, regardless of how many units are already in Strategic Reserves.|
AC|000008926003|Huntressâ Eye|15|Null Maiden Vigil|000000862|This ancient bionic acts like a miniature animus speculum, focusing the bearers null abilities into a stare that can literally terrify foes to death.|<span class="tooltip00493" data-tooltip-content="#tooltip_content00493" data-tooltip-anchor="#tooltip_content00493"><span class="kwb kwbu">ANATHEMA</span> <span class="kwb kwbu">PSYKANA</span></span> model only. In your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, select one enemy unit within 12" of the bearer. That unit must take a <span class="tooltip00036" data-tooltip-content="#tooltip_content00036"><span class="tt kwbu">Battle-shock</span> <span class="tt kwbu">test</span></span>.|
AC|000009273003|Sinister Presence (Aura)|0|Black Ship Guardians|000000910|So deeply unsettling is the null aura surrounding this warrior that it causes unreasoning paranoia to spread amongst her foes, shattering their focus.|<span class="tooltip00493" data-tooltip-content="#tooltip_content00493" data-tooltip-anchor="#tooltip_content00493"><span class="kwb kwbu">ANATHEMA</span> <span class="kwb kwbu">PSYKANA</span></span> model only. While an enemy unit is within 6" of the bearer (when measuring this distance, <a href="/wh40k10ed/the-rules/boarding-action-rules/#Terrain">Walls</a> and closed <a href="/wh40k10ed/the-rules/boarding-action-rules/#Terrain">Hatchways</a> are ignored), that unit cannot <a href="/wh40k10ed/the-rules/boarding-action-rules/#SEIZING-AND-SECURING-OBJECTIVE-MARKERS">Seize objective markers</a> and, in your opponentâs <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, that unit must take a <span class="tooltip00036" data-tooltip-content="#tooltip_content00036"><span class="tt kwbu">Battle-shock</span></span> lest. This Enhancement cannot cause a unit to take two <span class="tooltip00036" data-tooltip-content="#tooltip_content00036"><span class="tt kwbu">Battle-shock</span> <span class="tt kwbu">tests</span></span> in the same phase.|
AC|000009753003|Augury Uplink|35|Solar Spearhead|000000986|The war engines of the Adeptus Custodes possess an array of augury equipment that combines to build an intricate picture of the unfolding conflict, enabling the bearer to tap into this accumulated data stream, detect incoming threats and angle their armour to repel the worst of enemy attacks.|<span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> model only. The bearer has the <span class="tooltip00119" data-tooltip-content="#tooltip_content00119"><span class="tt kwbu">Feel</span> <span class="tt kwbu">No</span> <span class="tt kwbu">Pain</span> <span class="tt kwbu">5+</span></span> ability.|
AC|000009987004|Fierce Conqueror|15|Lions of the Emperor|000001029|This Captain-Commander has trained extensively to face multiple foes at once, knowing that the Custodes will always be outnumbered.|<span class="tooltip00492" data-tooltip-content="#tooltip_content00492" data-tooltip-anchor="#tooltip_content00492"><span class="kwb kwbu">SHIELD-CAPTAIN</span></span> model only. At the start of the <a href="/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>, until the end of the phase, add 2 to the Attacks characteristic of melee weapons equipped by the bearer for every 5 enemy models within 6" of the bearer (rounding down).|
AC|000008921004|Gift of Terran Artifice|15|Talons Of The Emperor|000000861|This warrior wields a close-quarters weapon crafted by the finest noble artisans of Terra, the workmanship of which is magnificent in its lethality.|<span class="tooltip00491" data-tooltip-content="#tooltip_content00491" data-tooltip-anchor="#tooltip_content00491"><span class="kwb kwbu">ADEPTUS</span> <span class="kwb kwbu">CUSTODES</span></span> model only. Each time the bearer makes a melee attack, add 1 to the <span class="tooltip00006" data-tooltip-content="#tooltip_content00006"><span class="tt kwbu">Wound</span> <span class="tt kwbu">roll</span></span>.|
AC|000008926004|Oblivion Knight|25|Null Maiden Vigil|000000862|Oblivion Knights are among the most powerful and experienced of the Sisters of Silence. When one leads their sisters in the field, witches must truly beware.|<span class="tooltip00493" data-tooltip-content="#tooltip_content00493" data-tooltip-anchor="#tooltip_content00493"><span class="kwb kwbu">ANATHEMA</span> <span class="kwb kwbu">PSYKANA</span></span> model only. While the bearer is leading a unit, each time a model in that unit makes an attack, add 1 to the <span class="tooltip00031" data-tooltip-content="#tooltip_content00031"><span class="tt kwbu">Hit</span> <span class="tt kwbu">roll</span></span>. If that attack targeted an enemy <span class="kwb">PSYKER</span> unit, add 1 to the <span class="tooltip00006" data-tooltip-content="#tooltip_content00006"><span class="tt kwbu">Wound</span> <span class="tt kwbu">roll</span></span> as well.|
AC|000008395004|From the Hall of Armouries|25|Shield Host|000000765|The racks of the Adeptus Custodesâ armouries yield up some of the most finely crafted close-quarters weaponry borne by any soldiers of the Imperium.|<span class="tooltip00492" data-tooltip-content="#tooltip_content00492" data-tooltip-anchor="#tooltip_content00492"><span class="kwb kwbu">SHIELD-CAPTAIN</span></span> model only. Add 1 to the Strength and Damage characteristics of the bearerâs melee weapons.|
AC|000009753004|Honoured Fallen (Aura)|15|Solar Spearhead|000000986|The eldest warriors of the Moritoi are revered champions with centuries of battle experience, and their presence on the battlefield is inspirational.|<span class="tooltip00497" data-tooltip-content="#tooltip_content00497" data-tooltip-anchor="#tooltip_content00497"><span class="kwb kwbu">ADEPTUS</span> <span class="kwb kwbu">CUSTODES</span> <span class="kwb kwbu">VEHICLE</span></span> model only. While a friendly <span class="tooltip00256" data-tooltip-content="#tooltip_content00256" data-tooltip-anchor="#tooltip_content00256"><span class="kwb kwbu">ADEPTUS</span> <span class="kwb kwbu">CUSTODES</span> <span class="kwb kwbu">INFANTRY</span></span> or <span class="tooltip00498" data-tooltip-content="#tooltip_content00498" data-tooltip-anchor="#tooltip_content00498"><span class="kwb kwbu">ADEPTUS</span> <span class="kwb kwbu">CUSTODES</span> <span class="kwb kwbu">MOUNTED</span></span> unit is within 6" of the bearer, each time a model in that unit makes an attack, re-roll a <span class="tooltip00031" data-tooltip-content="#tooltip_content00031"><span class="tt kwbu">Hit</span> <span class="tt kwbu">roll</span></span> of 1.|
AC|000008930004|Martial Philosopher|30|Auric Champions|000000863|Few in the history of the Imperium have been so skilled in reading - and directing- the ebb and flow of battle.|<span class="tooltip00491" data-tooltip-content="#tooltip_content00491" data-tooltip-anchor="#tooltip_content00491"><span class="kwb kwbu">ADEPTUS</span> <span class="kwb kwbu">CUSTODES</span></span> model only. The bearerâs unit is eligible to shoot and/or <a href="/wh40k10ed/the-rules/core-rules/#CHARGE-PHASE">declare a charge</a> in a turn in which it <span class="tooltip00025" data-tooltip-content="#tooltip_content00025"><span class="tt kwbu">Fell</span> <span class="tt kwbu">Back</span></span>. Once per battle, when an enemy unit ends a <span class="tooltip00221" data-tooltip-content="#tooltip_content00221"><span class="tt kwbu">Normal</span></span>, <span class="tooltip00230" data-tooltip-content="#tooltip_content00230"><span class="tt kwbu">Advance</span></span> or Fall Back move within 9" of the bearer, if the bearerâs unit is not within <span class="tooltip00023" data-tooltip-content="#tooltip_content00023"><span class="tt kwbu">Engagement</span> <span class="tt kwbu">Range</span></span> of one or more enemy units, it can make a Normal move of up to 6".|
AC|000008921005|Radiant Mantle|30|Talons Of The Emperor|000000861|The golden glory of the Emperor himself glows around this magnificent warrior like Sol's own fire. Enemies are blinded by its light, forced to recoil in pain and terror.|<span class="tooltip00491" data-tooltip-content="#tooltip_content00491" data-tooltip-anchor="#tooltip_content00491"><span class="kwb kwbu">ADEPTUS</span> <span class="kwb kwbu">CUSTODES</span></span> model only. Each time an attack targets the bearerâs unit, if the attacking model is within 12", subtract 1 from the <span class="tooltip00031" data-tooltip-content="#tooltip_content00031"><span class="tt kwbu">Hit</span> <span class="tt kwbu">roll</span></span>.|
AC|000008930005|Veiled Blade|25|Auric Champions|000000863|Said to have been fashioned for dark deeds during the Horus Heresy, this blade is an icon of vengeance.|<span class="tooltip00491" data-tooltip-content="#tooltip_content00491" data-tooltip-anchor="#tooltip_content00491"><span class="kwb kwbu">ADEPTUS</span> <span class="kwb kwbu">CUSTODES</span></span> model only. Add 2 to the Attacks characteristic of the bearers melee weapons. Once per battle, at the start of any <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, triple the bearerâs Objective Control characteristic until the end of the turn.|
AC|000008926005|Raptor Blade|5|Null Maiden Vigil|000000862|The Raptor Blade is an ancient relic of the Null Maidens, as razor sharp now as it was on the day of its forging and ever the bane of witches.|<span class="tooltip00493" data-tooltip-content="#tooltip_content00493" data-tooltip-anchor="#tooltip_content00493"><span class="kwb kwbu">ANATHEMA</span> <span class="kwb kwbu">PSYKANA</span></span> model only. Add 1 to the Attacks, Strength and Damage characteristics of the bearers melee weapons. While the bearer is within <span class="tooltip00023" data-tooltip-content="#tooltip_content00023"><span class="tt kwbu">Engagement</span> <span class="tt kwbu">Range</span></span> of one or more enemy <span class="kwb">PSYKER</span> units that are <span class="tooltip00036" data-tooltip-content="#tooltip_content00036"><span class="tt kwbu">Battle-shocked</span></span>, add 2 to the Attacks, Strength and Damage characteristics of the bearerâs melee weapons instead.|
AC|000009753005|Veteran of the Kataphraktoi|10|Solar Spearhead|000000986|This champion has served amongst the Kataphraktoi and is a master at coordinating swift armoured assaults.|<span class="tooltip00256" data-tooltip-content="#tooltip_content00256" data-tooltip-anchor="#tooltip_content00256"><span class="kwb kwbu">ADEPTUS</span> <span class="kwb kwbu">CUSTODES</span> <span class="kwb kwbu">INFANTRY</span></span> or <span class="tooltip00498" data-tooltip-content="#tooltip_content00498" data-tooltip-anchor="#tooltip_content00498"><span class="kwb kwbu">ADEPTUS</span> <span class="kwb kwbu">CUSTODES</span> <span class="kwb kwbu">MOUNTED</span></span> model only. In your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, select one <span class="tooltip00497" data-tooltip-content="#tooltip_content00497" data-tooltip-anchor="#tooltip_content00497"><span class="kwb kwbu">ADEPTUS</span> <span class="kwb kwbu">CUSTODES</span> <span class="kwb kwbu">VEHICLE</span></span> or <span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> <span class="kwb">MOUNTED</span> unit within 6" of the bearer. Until the start of your next <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, that unit is eligible to shoot in a turn in which it <span class="tooltip00025" data-tooltip-content="#tooltip_content00025"><span class="tt kwbu">Fell</span> <span class="tt kwbu">Back</span></span>.|
AC|000008395005|Panoptispex|5|Shield Host|000000765|This incredibly advanced precursor to Imperial auspicators is able to see through solid objects and into esoteric spectra, meaning no malcontent against the Throne can ever hide from its bearerâs gaze.|<span class="tooltip00492" data-tooltip-content="#tooltip_content00492" data-tooltip-anchor="#tooltip_content00492"><span class="kwb kwbu">SHIELD-CAPTAIN</span></span> or <a class="kwbOne" href="/wh40k10ed/factions/adeptus-custodes/Blade-Champion"><span class="kwb kwbo">BLADE</span> <span class="kwb kwbo">CHAMPION</span></a> model only. While the bearer is leading a unit, ranged weapons equipped by models in that unit have the <span class="kwb2 bluefont"><span class="tooltip00499" data-tooltip-content="#tooltip_content00499"><span class="tt kwbu">[IGNORES</span> <span class="tt kwbu">cover]</span></span></span> ability.|
AC|000009987005|Admonimortis|10|Lions of the Emperor|000001029|A relic of the Dread Host, this towering blade was wrought to make a bloody example of those who dare to set themselves against the might of Terra.|<span class="tooltip00492" data-tooltip-content="#tooltip_content00492" data-tooltip-anchor="#tooltip_content00492"><span class="kwb kwbu">SHIELD-CAPTAIN</span></span> model only. Improve the Strength characteristic of melee weapons equipped by the bearer by 3, and improve the Armour Penetration and Damage characteristics of those weapons by 1.|
AdM|000009281002|Remote Lockdown|0|Electromartyrs|000000912|The Tech-Priest noospherically harmonises with the machine spirit of a nearby hatchway and seeks to render it stubbornly uncompliant to the foe.|Once per <a href="/wh40k10ed/the-rules/core-rules/#The-Battle-Round">battle round</a>, when an enemy unit attempts to <a href="/wh40k10ed/the-rules/boarding-action-rules/#Open-Hatchways">operate a Hatchway</a>, if that Hatchway is within 9" of and <a href="/wh40k10ed/the-rules/boarding-action-rules/#Visibility">visible</a> to the bearer, it can use this Enhancement. If it does, it can attempt to prevent that unit from operating that Hatchway as if the bearer was within 1" of that Hatchway.|
AdM|000008564002|Mechanicus Locum|10|Data-Psalm Conclave|000000821|Amongst every congregation of Tech-Priests are masters of arcane knowledge - inspirational leaders of the cybernetic and the mechanical.|<span class="tooltip00500" data-tooltip-content="#tooltip_content00500" data-tooltip-anchor="#tooltip_content00500"><span class="kwb kwbu">TECH-PRIEST</span></span> model only. The bearer has a Leadership characteristic of 6+ and, once per battle, at the start of any phase, you can select one friendly <span class="tooltip00501" data-tooltip-content="#tooltip_content00501" data-tooltip-anchor="#tooltip_content00501"><span class="kwb kwbu">CULT</span> <span class="kwb kwbu">MECHANICUS</span></span> unit that is <span class="tooltip00036" data-tooltip-content="#tooltip_content00036"><span class="tt kwbu">Battle-shocked</span></span> and within 12" of the bearer. That unit is no longer Battle-shocked.|
AdM|000008568002|Magos|15|Explorator Maniple|000000822|Magi are masters of fiercely guarded knowledge, pursuing esoteric agendas at all costs. No risk is too great and no gambit too unwise in their ceaseless and predatory acquisition of ancient lore.|<span class="tooltip00420" data-tooltip-content="#tooltip_content00420" data-tooltip-anchor="#tooltip_content00420"><span class="kwb kwbu">TECH-PRIEST</span></span> model only. At the end of your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, if the bearer is within range of your Acquisition <span class="tooltip00064" data-tooltip-content="#tooltip_content00064"><span class="tt kwbu">objective</span> <span class="tt kwbu">marker</span></span>, roll one D6: on a 4+, you gain 1CP.|
AdM|000008572002|Necromechanic|25|Cohort Cybernetica|000000823|The blessed healing of machinery is the sign of a true shepherd of the Omnissiahâs flock.|<span class="tooltip00420" data-tooltip-content="#tooltip_content00420" data-tooltip-anchor="#tooltip_content00420"><span class="kwb kwbu">TECH-PRIEST</span></span> model only. Once per <a href="/wh40k10ed/the-rules/core-rules/#The-Battle-Round">battle round</a>, when a <span class="tooltip00032" data-tooltip-content="#tooltip_content00032"><span class="tt kwbu">saving</span> <span class="tt kwbu">throw</span></span> made for a friendly <span class="tooltip00502" data-tooltip-content="#tooltip_content00502" data-tooltip-anchor="#tooltip_content00502"><span class="kwb kwbu">LEGIO</span> <span class="kwb kwbu">CYBERNETICA</span></span> or <span class="tooltip00418" data-tooltip-content="#tooltip_content00418" data-tooltip-anchor="#tooltip_content00418"><span class="kwb kwbu">ADEPTUS</span> <span class="kwb kwbu">MECHANICUS</span> <span class="kwb kwbu">VEHICLE</span></span> model within 12" of the bearer is failed, the bearer can use this Enhancement. If they do, change the Damage characteristic of that attack to 0.|
AdM|000008385002|Radial Suffusion|25|Rad-Zone Corps|000000762|By transmitting their precision battlefield observations, this servant of the Omnissiah ensures the saturation of the enemy position is a creeping curse, spreading a hazardous suffusion towards those foes seeking to outrun the vengeance of the Machine God.|<span class="kwb">ADEPTUS</span> <span class="kwb">MECHANICUS</span> model only. From the second <a href="/wh40k10ed/the-rules/core-rules/#The-Battle-Round">battle round</a> onwards, when resolving the Fallout effect of the <span class="tooltip00503" data-tooltip-content="#tooltip_content00503"><span class="tt kwbu">Rad-bombardment</span></span> Detachment rule, if the bearer is on the battlefield, roll one D6 for each enemy unit within 6" of your opponentâs deployment zone, in addition to those that are within your opponentâs deployment zone.|
AdM|000008560002|Cantic Thrallnet|25|Skitarii Hunter Cohort|000000820|Proclaimed to be a direct data-link to the will of the Omnissiah himself, this neuro-entanglement matrix allows for hyper-optimised combat cogitation.|<a class="kwbOne" href="/wh40k10ed/factions/adeptus-mechanicus/Skitarii-Marshal"><span class="kwb kwbo">SKITARII</span> <span class="kwb kwbo">MARSHAL</span></a> model only. At the start of the <a href="/wh40k10ed/the-rules/core-rules/#The-Battle-Round">battle round</a>, you can select one friendly <span class="tooltip00459" data-tooltip-content="#tooltip_content00459" data-tooltip-anchor="#tooltip_content00459"><span class="kwb kwbu">SKITARII</span></span> unit within 12" of the bearer. Until the start of the next battle round, the <span class="tooltip00504" data-tooltip-content="#tooltip_content00504"><span class="tt kwbu">Protector</span> <span class="tt kwbu">Imperative</span></span> and the <span class="tooltip00505" data-tooltip-content="#tooltip_content00505"><span class="tt kwbu">Conqueror</span> <span class="tt kwbu">Imperative</span></span> are both active for that unit.|
AdM|000009298002|Beseech the Machine Spirits|0|Machine Cult|000000914|With acts of electroflagellation, the faithful seek the aid of the vessels systems.|At the end of the <a href="/wh40k10ed/the-rules/core-rules/#1.-Move-Units">Move Units</a> step of your <a href="/wh40k10ed/the-rules/boarding-action-rules/#Movement-Phase">Movement phase</a>, the bearer can attempt to <a href="/wh40k10ed/the-rules/boarding-action-rules/#Open-Hatchways">operate a Hatchway</a> that is <a href="/wh40k10ed/the-rules/boarding-action-rules/#Visibility">visible</a> to and within 9" of it, instead of one within 1". When doing so, if your opponent attempts to prevent it, add the bearers Toughness characteristic to your result of the <span class="tooltip00506" data-tooltip-content="#tooltip_content00506"><span class="tt kwbu">roll-off</span></span>, instead of that of a friendly model within 1" of that Hatchway.|
AdM|000009745002|Transoracular Dyad Wafers|15|Haloscreed Battle Clade|000000984|Inloaded with advanced combat protocols, tactical hymnals and holy autoscripture, these doctrina wafers grant greater autonomy and destructive might to the constructs of the Legio Cybernetica.|<a class="kwbOne" href="/wh40k10ed/factions/adeptus-mechanicus/Cybernetica-Datasmith"><span class="kwb kwbo">CYBERNETICA</span> <span class="kwb kwbo">DATASMITH</span></a> model only. When the bearer is <span class="tooltip00029" data-tooltip-content="#tooltip_content00029"><span class="tt kwbu">attached</span></span> to a <a class="kwbOne" href="/wh40k10ed/factions/adeptus-mechanicus/Kastelan-Robots"><span class="kwb kwbo">KASTELAN</span> <span class="kwb kwbo">ROBOTS</span></a> unit, until the end of the battle, models in that unit gain the <span class="kwb">HALO</span> <span class="kwb">OVERRIDE</span> keyword. That unit cannot be selected when selecting units as part of the <span class="tooltip00508" data-tooltip-content="#tooltip_content00508"><span class="tt kwbu">Noospheric</span> <span class="tt kwbu">Transference</span></span> Detachment rule.|
AdM|000009290002|Admonissor Shunt|0|Response Clade|000000913|Senior Skitarii officers can be augmented with cybernetic override emitters that release protocol blurts to force compliance from their footsoldiers.|Once per battle, at the start of any phase, if the bearer is on the battlefield, you can select one friendly <span class="tooltip00459" data-tooltip-content="#tooltip_content00459" data-tooltip-anchor="#tooltip_content00459"><span class="kwb kwbu">SKITARII</span></span> unit that is <span class="tooltip00036" data-tooltip-content="#tooltip_content00036"><span class="tt kwbu">Battle-shocked</span></span>. That unit is no longer Battle-shocked.|
AdM|000008564003|Mantle of the Gnosticarch|15|Data-Psalm Conclave|000000821|The toughened weave of this hooded robe includes hypo-ceramic threads, thermoplastics and terranic polymers that create a holy shroud capable of resisting the infernos of plasma reactors.|<span class="tooltip00500" data-tooltip-content="#tooltip_content00500" data-tooltip-anchor="#tooltip_content00500"><span class="kwb kwbu">TECH-PRIEST</span></span> model only. Each time an attack is allocated to the bearer, change the Damage characteristic of that attack to 1.|
AdM|000009281003|Multi-dimensional Auspex|0|Electromartyrs|000000912|No physical barrier can deny the omniscient datasight of the Omnissiah and its blessed servants.|Once per battle, in your <a href="/wh40k10ed/the-rules/boarding-action-rules/#Shooting-Phase">Shooting phase</a>, when the bearer is selected to shoot, it can use this Enhancement. If it does, until the end of the phase, it can ignore <a href="/wh40k10ed/the-rules/boarding-action-rules/#Terrain">Walls</a> and closed <a href="/wh40k10ed/the-rules/boarding-action-rules/#Terrain">Hatchways</a> for the purposes of <a href="/wh40k10ed/the-rules/core-rules/#Determining-Visibility">determining visibility</a>, and the Range characteristic of ranged weapons it is equipped with is changed to 6".|
